seq	ocean	location	species	source
YPM-IZ-110785	Central Pacific	Hawai'i	Physalia utriculus	study
YPM-IZ-110786	Central Pacific	Hawai'i	Physalia utriculus	study
YPM-IZ-110826	SE Pacific	Chile		study
YPM-IZ-110827	SE Pacific	Chile		study
YPM-IZ-110828	SE Pacific	Chile	Physalia megalista	study
YPM-IZ-110829	SE Pacific	Chile	Physalia megalista	study
YPM-IZ-110830	SW Atlantic	Uruguay	Physalia utriculus	study
YPM-IZ-110842	NE Atlantic	Azores	Physalia physalis	study
YPM-IZ-110843	NE Atlantic	Azores	Physalia physalis	study
YPM-IZ-110844	NE Atlantic	Azores	Physalia physalis	study
YPM-IZ-110845	NE Atlantic	Azores	Physalia physalis	study
YPM-IZ-110846	NE Atlantic	Azores	Physalia physalis	study
YPM-IZ-110847	NE Atlantic	Azores	Physalia physalis	study
YPM-IZ-110876	Gulf of Mexico	Texas	Physalia physalis	study
YPM-IZ-110877	Gulf of California	Mexico	Physalia mikazuki	study
YPM-IZ-110878	Gulf of California	Mexico	Physalia mikazuki	study
YPM-IZ-110879	Gulf of California	Mexico		study
YPM-IZ-110880	NW Atlantic	Northeast US	Physalia physalis	study
YPM-IZ-110881	Central Pacific	Hawai'i	Physalia utriculus	study
YPM-IZ-110882	Central Pacific	Hawai'i	Physalia utriculus	study
YPM-IZ-110883	Central Pacific	Hawai'i	Physalia utriculus	study
YPM-IZ-110906	Central Pacific	NW Hawaiian Islands	Physalia utriculus	study
YPM-IZ-110907	Central Pacific	NW Hawaiian Islands	Physalia utriculus	study
YPM-IZ-110925	NW Pacific	Japan	Physalia utriculus	study
YPM-IZ-110926	NW Pacific	Japan	Physalia utriculus	study
YPM-IZ-110930	NW Pacific	Japan	Physalia utriculus	study
YPM-IZ-110931	NW Pacific	Japan	Physalia mikazuki	study
YPM-IZ-110933	NW Pacific	Japan	Physalia utriculus	study
YPM-IZ-110937	NW Pacific	Japan	Physalia utriculus	study
YPM-IZ-110938	NW Pacific	Japan	Physalia utriculus	study
YPM-IZ-110943	NW Pacific	Japan	Physalia mikazuki	study
YPM-IZ-110972	NE Atlantic	Ireland		study
YPM-IZ-110973	NE Atlantic	Ireland		study
YPM-IZ-111006	W Indian	South Africa	Physalia utriculus	study
YPM-IZ-111007	W Indian	South Africa	Physalia utriculus	study
YPM-IZ-111008	W Indian	South Africa	Physalia utriculus	study
YPM-IZ-111009	W Indian	South Africa	Physalia utriculus	study
YPM-IZ-111010	W Indian	South Africa	Physalia megalista	study
YPM-IZ-111012	NW Atlantic	Bermuda	Physalia physalis	study
YPM-IZ-111013	NW Atlantic	Bermuda	Physalia physalis	study
YPM-IZ-111014	NW Atlantic	Bermuda	Physalia physalis	study
YPM-IZ-111015	NW Atlantic	Bermuda		study
YPM-IZ-111016	NW Atlantic	Bermuda	Physalia physalis	study
YPM-IZ-111017	NW Atlantic	Bermuda	Physalia physalis	study
YPM-IZ-111018	NW Atlantic	Bermuda	Physalia physalis	study
YPM-IZ-111019	NW Atlantic	Bermuda		study
YPM-IZ-111156	SW Pacific	Tasman Sea	Physalia megalista	study
YPM-IZ-111157	SW Pacific	Tasman Sea	Physalia megalista	study
YPM-IZ-111158	SW Pacific	Tasman Sea	Physalia megalista	study
YPM-IZ-111159	SW Pacific	Tasman Sea	Physalia megalista	study
YPM-IZ-111160	SW Pacific	Tasman Sea	Physalia megalista	study
YPM-IZ-111163	SW Pacific	New South Wales	Physalia utriculus	study
YPM-IZ-111207	SW Pacific	New Zealand	Physalia minuta	study
YPM-IZ-111208	SW Pacific	New Zealand	Physalia minuta	study
YPM-IZ-111209	SW Pacific	New Zealand	Physalia minuta	study
YPM-IZ-111210	SW Pacific	New Zealand	Physalia minuta	study
YPM-IZ-111220	SW Pacific	New Zealand	Physalia minuta	study
YPM-IZ-111231	SW Pacific	New Zealand	Physalia minuta	study
YPM-IZ-111241	SW Pacific	New Zealand	Physalia minuta	study
YPM-IZ-111243	SW Pacific	New Zealand	Physalia minuta	study
YPM-IZ-111256	SW Pacific	New Zealand	Physalia minuta	study
YPM-IZ-111261	SW Pacific	New Zealand	Physalia minuta	study
YPM-IZ-111495	SW Pacific	New Zealand	Physalia megalista	study
YPM-IZ-111513	SW Pacific	New Zealand	Physalia megalista	study
YPM-IZ-111514	SW Pacific	New Zealand	Physalia megalista	study
YPM-IZ-111517	SW Pacific	New Zealand	Physalia megalista	study
YPM-IZ-111518	SW Pacific	New Zealand	Physalia megalista	study
YPM-IZ-111519	SW Pacific	New Zealand	Physalia megalista	study
YPM-IZ-111520	SW Pacific	New Zealand	Physalia megalista	study
YPM-IZ-111521	SW Pacific	New Zealand	Physalia megalista	study
YPM-IZ-111529	SW Pacific	New Zealand	Physalia megalista	study
YPM-IZ-111530	SW Pacific	New Zealand	Physalia megalista	study
YPM-IZ-111539	SW Pacific	New Zealand	Physalia megalista	study
YPM-IZ-111547	Central Pacific	Hawai'i	Physalia utriculus	study
YPM-IZ-111759	SW Pacific	SW Pacific	Physalia minuta	study
YPM-IZ-111760	SW Pacific	SW Pacific		study
YPM-IZ-111806	SW Pacific	SW Pacific	Physalia minuta	study
YPM-IZ-111813	SW Pacific	SW Pacific	Physalia minuta	study
YPM-IZ-111814	SW Pacific	SW Pacific	Physalia megalista	study
YPM-IZ-111816	SW Pacific	SW Pacific	Physalia megalista	study
YPM-IZ-111819	SW Pacific	SW Pacific	Physalia megalista	study
YPM-IZ-111820	SW Pacific	SW Pacific	Physalia megalista	study
YPM-IZ-111822	SW Pacific	SW Pacific	Physalia megalista	study
YPM-IZ-111825	SW Pacific	SW Pacific	Physalia megalista	study
YPM-IZ-111839	Central Pacific	Central Pacific	Physalia mikazuki	study
YPM-IZ-111840	Central Pacific	Central Pacific	Physalia utriculus	study
YPM-IZ-115977	SE Atlantic	Saint Helena	Physalia minuta	study
YPM-IZ-115978	SE Atlantic	Saint Helena	Physalia minuta	study
YPM-IZ-115980	SE Atlantic	Saint Helena	Physalia minuta	study
YPM-IZ-115990	SE Atlantic	Saint Helena	Physalia minuta	study
YPM-IZ-116019	SE Atlantic	Saint Helena	Physalia megalista	study
